FINAL_OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,n_rows,UCR_PART_MANUAL
RECOVERED - MV RECOVERED IN BOSTON (STOLEN IN BOSTON) MUST BE SUPPLEMENTAL,RECOVERED - MV RECOVERED IN BOSTON (STOLEN IN BOSTON) MUST BE SUPPLEMENTAL,187,Part Three
RECOVERED STOLEN PROPERTY,MIGRATED REPORT - STOLEN PROPERTY,3,Part Three
RESIDENTIAL BURGLARY,BURGLARY - RESIDENTIAL,4486,Part One
RESTRAINING ORDER VIOLATIONS,VIOLATION - RESTRAINING ORDER (NO ARREST),205,Part Two
ROBBERY,MIGRATED REPORT - ROBBERY,11,Part One
ROBBERY,ROBBERY,4631,Part One
SERVICE,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",1290,Part Three
SICK ASSIST,SICK ASSIST,10232,Part Three
VANDALISM/DESTRUCTION OF PROPERTY,MIGRATED REPORT - VANDALISM/DESTRUCTION OF PROPERTY,16,Part Two
VIOLATION - HARASSMENT PREVENTION ORDER,VIOLATION - HARASSMENT PREVENTION ORDER,82,Part Two
VIOLATIONS,VAL - VIOLATION OF AUTO LAW,7165,Part Two
WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,2688,Part Three
WARRANT ARRESTS,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),534,Part Three
WEAPONS VIOLATION,MIGRATED REPORT - WEAPONS VIOLATION,10,Part Two
